State,Sector,BuildingType,ElectricitySource,TariffBand,HasMeter,RenewableEnergy,BackupPower,NumOccupants,NumRooms,NumAppliances,BuildingAge(Years),HoursPowerDaily,SolarCapacity(kW),PeakHourUsage,NumACUnits,NumFreezers,ConsumptionCategory,MonthlyIncome_log,MonthlyBill_log,GeneratorFuelCost_log,MonthlyConsumption_log,consumption_rate,House_comfort,usage_rate,appliance_consumption,Hourly_rate
Rivers,Residential,Shop,NEPA/PHCN,B and C,Yes,No,UPS,1,3,6,14,13.1,0.0,5.8,1,0,Low,6.9088,6.9088,6.775366090936392,4.388257184424518,4.39,0.768,0.505,1.456,0.335
Kano,Residential,Factory,NEPA/PHCN,B and D,No,No,Generator,4,8,5,7,8.0,0.0,5.4,2,3,Moderate,9.6534,9.6534,9.577480365762678,3.616308761279101,0.9,0.743,0.502,0.615,0.452
Benue,Residential,Duplex,NEPA/PHCN,B and B,Yes,No,Solar,4,5,6,12,20.8,0.0,5.9,0,3,Moderate,9.5275,9.5275,9.952182474074887,4.712229258281499,1.18,0.866,0.489,1.891,0.227
Enugu,Residential,Factory,NEPA/PHCN,B and D,Yes,No,No Backup,4,2,9,21,13.5,0.0,4.5,1,1,High,8.8267,8.8267,10.210641315177503,6.075575889726634,1.52,0.802,0.464,1.227,0.45
Plateau,Government,Duplex,Both,B and B,Yes,No,Generator,3,2,7,4,12.6,0.0,9.1,0,0,Moderate,8.4185,8.4185,6.137727054086234,6.2422232654551655,2.08,0.935,0.578,1.4,0.495
Kwara,Residential,Office,NEPA/PHCN,B and A,Prepaid,No,Generator,5,3,8,21,13.5,0.0,3.8,3,1,Very high,8.6937,8.6937,9.183585634667363,6.095599311839989,1.22,0.79,0.486,1.227,0.452
Bauchi,Residential,Bungalow,NEPA/PHCN,B and C,Yes,Yes,Solar,3,1,9,27,9.9,0.9,6.8,1,1,Low,9.6362,9.6362,8.398184404834035,3.955082494888593,1.32,0.964,0.534,0.99,0.4
Anambra,Commercial,Factory,Solar,B and B,Yes,No,UPS,7,3,9,7,14.0,0.0,6.5,0,1,High,7.3614,7.3614,7.998671361015776,5.772686453303412,0.82,0.613,0.479,1.167,0.412
Benue,Residential,Duplex,Both,B and B,Yes,No,Generator,3,7,6,19,6.3,0.0,7.4,1,0,Low,9.5713,9.5713,6.906754778648554,5.301811255802292,1.77,0.736,0.581,0.485,0.842
Plateau,Residential,Office,Both,B and D,Yes,No,Generator,1,8,11,10,14.5,0.0,5.4,4,0,Very high,8.7796,8.7796,10.244343025867096,4.174387269895637,4.17,0.462,0.462,0.763,0.288
Oyo,Commercial,Bungalow,NEPA/PHCN,B and C,No,No,Generator,4,2,13,0,10.9,0.0,2.7,2,1,High,9.7092,9.7092,6.626717749249025,3.765840495250065,0.94,0.647,0.594,0.727,0.345
Anambra,Residential,Factory,NEPA/PHCN,B and A,Yes,No,Generator,4,4,5,20,8.3,0.0,5.3,1,4,High,9.5139,9.5139,9.410992885454862,5.818003618746224,1.45,1.057,0.503,0.922,0.701
Abuja,Commercial,Bungalow,Solar,B and B,Yes,No,Generator,6,3,4,15,3.1,0.0,8.1,1,2,Moderate,9.8402,9.8402,9.73790511174645,3.728100167267218,0.62,1.406,0.503,0.443,1.203
Kano,Commercial,Bungalow,NEPA/PHCN,B and A,No,Yes,Generator,5,5,12,6,15.6,0.5,10.0,0,1,High,8.4606,8.4606,8.351610750626559,4.3294166844015844,0.87,0.498,0.503,0.918,0.278
Delta,Industrial,Bungalow,Both,B and B,Yes,No,Generator,2,4,7,17,7.0,0.0,3.6,1,0,Low,10.2488,10.2488,8.427924723658055,3.044522437723423,1.52,0.932,0.549,0.636,0.435
Delta,Government,Bungalow,NEPA/PHCN,B and A,Yes,No,Solar,5,1,8,13,2.9,0.0,2.3,0,0,High,9.6177,9.6177,9.140872387640995,6.399260270554429,1.28,1.069,0.513,0.322,2.207
Kaduna,Residential,Factory,Solar,B and D,No,No,Generator,4,1,6,15,7.1,0.0,4.1,2,1,Low,8.7912,8.7912,8.160232492367689,5.908354640384975,1.48,1.256,0.519,1.014,0.832
Kaduna,Residential,Warehouse,NEPA/PHCN,B and C,Yes,No,Generator,5,2,11,20,15.0,0.0,5.2,1,0,Moderate,10.3223,10.3223,9.803556713911078,5.469746482175568,1.09,0.794,0.513,1.154,0.365
Abuja,Residential,Shop,NEPA/PHCN,B and D,Yes,No,Solar,7,2,8,2,12.1,0.0,4.9,4,1,Very high,8.0024,8.0024,9.268892258925797,4.341204640153626,0.62,0.8,0.463,1.21,0.359
Kwara,Residential,Shop,Generator,B and C,Yes,Yes,Generator,4,2,5,0,5.9,1.3,5.6,0,1,Low,8.6246,8.6246,5.796057750765372,4.686750172980514,1.17,1.232,0.598,0.843,0.794
Kaduna,Industrial,Bungalow,Generator,B and D,Yes,No,Generator,4,3,10,2,9.6,0.0,5.5,1,2,High,7.0741,7.0741,5.723585101952381,4.782479200958502,1.2,0.544,0.553,0.738,0.498
Rivers,Industrial,Bungalow,Generator,B and B,No,No,Generator,3,8,12,28,3.6,0.0,7.2,0,1,Very high,6.9088,6.9088,10.117065498980637,4.836281906951478,1.61,0.345,0.406,0.18,1.343
Benue,Commercial,Office,Generator,B and B,Yes,No,No Backup,2,1,10,20,19.4,0.0,4.8,1,0,Very high,10.624,10.624,9.231573348384192,5.1951766076285235,2.6,0.966,0.535,1.764,0.268
Kano,Commercial,Warehouse,NEPA/PHCN,B and A,Yes,Yes,Generator,4,5,12,5,6.2,1.8,2.7,1,1,Very high,10.2554,10.2554,9.310004695089129,6.4863132163508315,1.62,0.603,0.524,0.365,1.046
Niger,Residential,Office,NEPA/PHCN,B and B,Yes,Yes,Generator,4,3,6,11,6.5,8.4,8.2,0,1,Low,8.8151,8.8151,8.549853973655786,5.839769183855788,1.46,0.979,0.508,0.722,0.898
Plateau,Commercial,Flat,NEPA/PHCN,B and A,No,No,Generator,6,4,9,7,6.1,0.0,3.8,0,1,Moderate,6.9088,6.9088,9.967869811465397,3.044522437723423,0.51,0.531,0.409,0.469,0.499
Niger,Industrial,Bungalow,NEPA/PHCN,B and D,Yes,No,Generator,3,4,7,12,10.8,0.0,5.4,1,0,High,10.4763,10.4763,9.229603638157029,4.957937505095806,1.65,0.952,0.532,0.982,0.459
Abuja,Commercial,Bungalow,Solar,B and B,Yes,Yes,Generator,3,3,5,18,18.1,3.4,8.9,1,0,Low,6.9088,6.9088,4.290459441148391,4.706823839714591,1.57,0.864,0.617,2.262,0.26
Lagos,Residential,Flat,Generator,B and C,Yes,Yes,Solar,1,2,6,17,18.0,0.5,10.4,0,0,Low,9.0552,9.0552,8.264878262801748,3.32862668882732,3.33,1.132,0.523,2.25,0.185
Plateau,Commercial,Factory,NEPA/PHCN,B and D,No,Yes,UPS,7,3,7,4,12.4,4.0,7.9,2,1,Moderate,10.6292,10.6292,6.594413459749778,4.446174454497633,0.64,1.063,0.617,1.24,0.359
Plateau,Residential,Bungalow,Solar,B and D,Prepaid,Yes,UPS,3,7,8,8,8.1,5.4,3.6,1,1,Low,8.9844,8.9844,2.9444389791664403,4.273884476054178,1.42,0.599,0.753,0.54,0.528
Oyo,Commercial,Shop,NEPA/PHCN,B and B,Yes,Yes,Generator,3,6,16,12,0.0,3.5,6.1,2,1,High,10.2045,10.2045,8.59748202264504,3.9740583963475986,1.32,0.464,0.543,0.0,inf
Abuja,Commercial,Flat,NEPA/PHCN,B and A,Yes,Yes,Generator,5,2,4,3,12.9,12.4,9.9,3,3,High,9.6345,9.6345,8.956995311928852,3.044522437723423,0.61,1.606,0.518,2.15,0.236
Abuja,Residential,Bungalow,Generator,B and B,Yes,No,Generator,6,3,9,6,2.8,0.0,5.4,3,1,Very high,7.0519,7.0519,7.8632667240095735,6.080162001869269,1.01,0.588,0.473,0.233,2.171
Delta,Industrial,Duplex,NEPA/PHCN,B and D,No,Yes,UPS,5,6,9,14,8.3,0.9,6.1,2,1,High,7.5637,7.5637,9.715892113239466,4.2710950739666,0.85,0.504,0.438,0.553,0.515
Enugu,Government,Bungalow,Generator,B and D,No,No,Generator,4,6,5,1,10.1,0.0,7.3,1,2,Very high,9.2571,9.2571,9.362116806941977,6.613920987045158,1.65,0.842,0.497,0.918,0.655
Niger,Residential,Warehouse,NEPA/PHCN,B and C,Yes,No,Generator,4,3,13,17,3.2,0.0,6.2,0,0,High,8.5128,8.5128,6.483107351457199,6.44587853694801,1.61,0.532,0.568,0.2,2.014
Kwara,Government,Flat,Generator,B and B,Yes,Yes,UPS,1,3,13,13,13.3,7.5,9.7,1,1,Moderate,9.0169,9.0169,8.556606193773073,5.152713392689245,5.15,0.564,0.513,0.831,0.387
Enugu,Commercial,Shop,Generator,B and C,Yes,Yes,Generator,2,6,7,7,3.1,4.8,7.0,2,1,High,10.3123,10.3123,10.192718424977759,5.496758305221874,2.75,0.793,0.503,0.238,1.773
Bauchi,Industrial,Bungalow,NEPA/PHCN,B and A,Yes,No,Generator,2,6,7,32,6.7,0.0,9.3,1,0,Moderate,6.9088,6.9088,7.450660796211539,4.484131857611035,2.24,0.531,0.481,0.515,0.669
Rivers,Government,Flat,NEPA/PHCN,B and D,Yes,No,Solar,4,4,7,20,15.0,0.0,7.6,0,2,Moderate,7.789,7.789,9.081938657171658,5.38081858805978,1.35,0.708,0.462,1.364,0.359
Sokoto,Commercial,Bungalow,NEPA/PHCN,B and D,No,No,Generator,3,1,8,14,15.2,0.0,2.2,0,1,Low,8.6023,8.6023,10.021003885963967,3.858622228701031,1.29,0.956,0.462,1.689,0.254
Bauchi,Industrial,Bungalow,Generator,B and D,Yes,No,Generator,7,5,11,9,11.8,0.0,5.5,3,0,Very high,6.9088,6.9088,6.498282149476434,3.2809112157876537,0.47,0.432,0.515,0.738,0.278
Lagos,Residential,Flat,NEPA/PHCN,B and C,Yes,Yes,Generator,5,4,7,1,13.3,0.7,7.6,1,0,Moderate,6.9088,6.9088,3.091042453358316,6.097849537811996,1.22,0.628,0.691,1.209,0.458
Plateau,Residential,Shop,Solar,B and C,Yes,Yes,Generator,1,5,11,21,17.2,0.9,8.1,0,0,Very high,7.8399,7.8399,9.29781997266532,6.375024819828097,6.38,0.49,0.457,1.075,0.371
Delta,Commercial,Flat,Both,B and D,Yes,No,Generator,8,6,4,13,5.8,0.0,5.8,5,0,Very high,9.2607,9.2607,9.473089177882752,5.786590585843515,0.72,0.926,0.494,0.58,0.998
Lagos,Government,Flat,Generator,B and D,Yes,Yes,Generator,4,3,3,19,15.3,3.9,5.6,0,0,Low,9.9998,9.9998,9.752548376970841,6.361302477572996,1.59,1.667,0.506,2.55,0.416
Plateau,Government,Factory,NEPA/PHCN,B and B,Yes,Yes,Generator,6,8,11,22,7.0,2.0,9.6,1,1,Very high,8.6524,8.6524,7.2078598714324755,6.757048661557434,1.13,0.455,0.546,0.368,0.965
Rivers,Commercial,Duplex,NEPA/PHCN,B and D,No,Yes,Solar,3,5,5,6,7.3,8.3,5.9,2,0,Low,9.2653,9.2653,6.646390514847729,5.853638230200579,1.95,0.927,0.582,0.73,0.802
Enugu,Commercial,Factory,Generator,B and C,Yes,No,No Backup,2,4,8,22,9.1,0.0,4.3,2,1,Moderate,8.3495,8.3495,9.583488878607804,4.469350462845557,2.23,0.696,0.466,0.758,0.491
Abuja,Residential,Flat,Generator,B and C,Yes,No,UPS,6,6,5,0,11.9,0.0,8.7,0,0,Moderate,7.8014,7.8014,9.209680154080303,5.5626028611934215,0.93,0.709,0.459,1.082,0.467
Kaduna,Agricultural,Office,Generator,B and C,Yes,No,Generator,9,4,14,14,21.4,0.0,7.9,2,2,Very high,10.4807,10.4807,7.633369649679584,5.161351511474879,0.57,0.582,0.579,1.189,0.241
Niger,Residential,Office,Solar,B and B,No,Yes,Generator,2,3,11,11,9.9,1.0,9.6,1,0,Very high,8.8614,8.8614,8.77539495854551,6.819470364114565,3.41,0.633,0.502,0.707,0.689
Kaduna,Industrial,Flat,Both,B and A,No,No,Generator,8,2,10,9,11.8,0.0,4.4,0,1,Very high,9.2064,9.2064,9.049584593096789,5.856503561673865,0.73,0.767,0.504,0.983,0.496
Benue,Commercial,Flat,Both,B and D,No,Yes,UPS,4,7,6,8,7.0,1.9,6.9,3,0,High,9.2976,9.2976,6.60934924316738,5.717356594683319,1.43,0.715,0.584,0.538,0.817
Anambra,Commercial,Duplex,Solar,B and B,No,Yes,Generator,3,7,6,24,0.0,1.4,8.0,0,2,Very high,8.7015,8.7015,8.61341204915678,6.930592512884894,2.31,0.669,0.503,0.0,inf
Oyo,Residential,Duplex,NEPA/PHCN,B and C,Yes,No,Generator,5,7,8,8,8.9,0.0,2.5,4,4,Very high,8.7053,8.7053,9.604205122018026,5.678806488586024,1.14,0.58,0.475,0.593,0.638
Kwara,Agricultural,Mansion,NEPA/PHCN,B and E,Yes,No,Solar,2,3,9,4,8.3,0.0,4.5,2,2,High,8.5666,8.5666,8.673855001429615,6.268527940411622,3.13,0.714,0.497,0.692,0.755
Rivers,Commercial,Office,Generator,B and C,No,No,Solar,5,8,6,16,4.9,0.0,7.3,1,1,High,10.0345,10.0345,10.314304978070902,5.382198850528739,1.08,0.717,0.493,0.35,1.098
Oyo,Government,Duplex,NEPA/PHCN,B and C,No,No,Solar,3,8,8,1,13.5,0.0,3.3,1,1,Moderate,10.8235,10.8235,8.766861821669803,3.044522437723423,1.01,0.676,0.552,0.844,0.226
Benue,Residential,Duplex,Both,B and C,No,Yes,Generator,2,6,6,9,15.8,2.8,10.5,2,1,Moderate,7.794,7.794,10.500454174622105,3.828641396489095,1.91,0.65,0.426,1.317,0.242
Benue,Commercial,Bungalow,Both,B and B,Yes,Yes,Generator,5,4,11,0,11.4,2.4,2.8,1,2,High,8.1625,8.1625,9.663388566822505,5.827768454437193,1.17,0.544,0.458,0.76,0.511
Kwara,Industrial,Factory,Both,B and E,Yes,No,Generator,3,6,9,21,12.9,0.0,8.0,0,0,High,8.4491,8.4491,9.56724528946897,5.657389435086491,1.89,0.563,0.469,0.86,0.439
Sokoto,Industrial,Duplex,NEPA/PHCN,B and D,Yes,No,UPS,7,3,8,0,10.4,0.0,7.3,0,3,High,9.7224,9.7224,7.301147805856032,5.746203190540153,0.82,0.884,0.571,0.945,0.553
Plateau,Government,Office,Both,B and C,No,No,Generator,5,7,10,4,7.8,0.0,1.8,2,1,High,9.2847,9.2847,8.254268770090183,3.044522437723423,0.61,0.546,0.529,0.459,0.39
Oyo,Residential,Duplex,Solar,B and E,Yes,No,Generator,6,4,11,13,11.8,0.0,2.7,4,0,Very high,9.0973,9.0973,9.205056436544805,6.792793260512456,1.13,0.606,0.497,0.787,0.576
Enugu,Residential,Office,Both,B and A,Yes,No,Solar,5,7,6,0,12.1,0.0,4.7,4,1,High,8.51,8.51,8.203851372183879,4.009149716158869,0.8,0.655,0.509,0.931,0.331
Kwara,Commercial,Bungalow,Both,B and D,Yes,Yes,Generator,4,6,7,20,8.8,3.7,4.9,2,0,High,10.4839,10.4839,9.316680407747508,6.123807734095696,1.53,0.806,0.529,0.677,0.696
Benue,Residential,Duplex,NEPA/PHCN,B and D,No,No,UPS,3,1,5,0,14.9,0.0,7.2,2,0,High,10.137,10.137,9.279474566809853,6.263207768258254,2.09,1.69,0.522,2.483,0.42
Enugu,Agricultural,Shop,Generator,B and C,Yes,Yes,Solar,6,3,13,19,9.8,5.1,4.1,2,0,High,9.67,9.67,10.221068175333773,4.0809215418899605,0.68,0.604,0.486,0.612,0.416
Abuja,Residential,Flat,Solar,B and D,No,No,Generator,7,3,5,1,12.5,0.0,6.1,0,1,Low,9.6561,9.6561,10.19200677448047,3.3945083935113587,0.48,1.207,0.486,1.562,0.272
Delta,Commercial,Shop,Both,B and A,Yes,No,Generator,3,1,11,13,12.8,0.0,8.4,2,0,High,9.6636,9.6636,9.732165281200542,3.044522437723423,1.01,0.805,0.498,1.067,0.238
Enugu,Residential,Shop,Both,B and B,No,No,UPS,1,3,4,26,15.6,0.0,6.1,1,0,Moderate,8.9191,8.9191,10.46098681649979,6.008813185442595,6.01,1.274,0.46,2.229,0.385
Plateau,Commercial,Flat,NEPA/PHCN,B and C,Yes,No,Generator,4,3,9,0,12.7,0.0,8.0,1,0,High,9.6049,9.6049,7.581209826196346,5.781052110147502,1.45,0.8,0.559,1.058,0.455
Kaduna,Residential,Flat,Both,B and A,No,No,Generator,2,6,10,0,11.6,0.0,4.6,0,1,High,9.1285,9.1285,8.698347400458186,5.624739267315748,2.81,0.571,0.512,0.725,0.485
Oyo,Residential,Flat,Generator,B and A,Yes,No,Generator,1,6,6,15,13.0,0.0,4.5,0,1,Low,10.1308,10.1308,6.827629234502852,5.608738925969307,5.61,0.844,0.597,1.083,0.431
Plateau,Residential,Office,Both,B and C,No,No,Solar,4,2,6,8,20.5,0.0,5.7,1,2,Very high,7.96,7.96,6.852242569051878,6.777874358127617,1.69,0.995,0.537,2.562,0.331
Anambra,Residential,Flat,Both,B and D,Yes,No,Generator,5,3,11,10,7.5,0.0,2.1,4,1,Very high,9.5513,9.5513,9.773834344309257,6.852559643514187,1.37,0.682,0.494,0.536,0.914
Niger,Agricultural,Shop,NEPA/PHCN,B and D,Yes,No,Generator,5,5,8,18,9.7,0.0,7.2,1,1,High,9.727,9.727,10.111923474978063,6.141176820336309,1.23,0.748,0.49,0.746,0.633
Kano,Residential,Duplex,Solar,B and D,Yes,No,Generator,2,6,9,17,14.4,0.0,2.9,1,0,Very high,10.2834,10.2834,9.537627699020323,6.930103682645899,3.47,0.686,0.519,0.96,0.481
Benue,Commercial,Duplex,Solar,B and D,Prepaid,No,Generator,2,4,9,19,10.3,0.0,3.5,0,1,Moderate,8.3866,8.3866,9.981512841973895,4.663439094112067,2.33,0.645,0.457,0.792,0.453
Niger,Agricultural,Office,NEPA/PHCN,B and C,Yes,No,Generator,5,4,6,16,4.0,0.0,2.9,2,1,Moderate,10.5309,10.5309,10.213872454394023,5.1896179496246955,1.04,1.053,0.508,0.4,1.297
Niger,Industrial,Office,Solar,B and A,No,No,UPS,2,1,8,0,0.2,0.0,6.1,1,0,Very high,7.0291,7.0291,4.48863636973214,6.88356504018092,3.44,0.781,0.61,0.022,34.418
Kwara,Agricultural,Bungalow,Solar,B and D,Yes,Yes,Solar,4,1,5,9,3.7,0.9,5.3,0,0,Low,9.1745,9.1745,2.995732273553991,5.599532453282402,1.4,1.529,0.754,0.617,1.513
Rivers,Agricultural,Bungalow,Both,B and D,No,No,Generator,2,2,4,4,12.3,0.0,4.4,1,0,Low,8.4249,8.4249,9.029178142902074,6.338240658867467,3.17,1.404,0.483,2.05,0.515
Anambra,Commercial,Duplex,Both,B and C,Yes,No,Solar,6,1,8,8,9.5,0.0,4.2,1,2,Moderate,7.5459,7.5459,9.409191230721348,5.19295685089021,0.87,0.838,0.445,1.056,0.547
Kaduna,Commercial,Duplex,Both,B and B,No,No,Solar,2,9,2,12,12.4,0.0,7.9,0,1,High,7.8644,7.8644,10.071245235769604,5.795145480670174,2.9,0.715,0.438,1.127,0.467
Enugu,Residential,Duplex,Generator,B and A,Yes,No,Generator,2,1,5,17,13.8,0.0,11.0,0,0,Low,9.8093,9.8093,7.802209316247118,4.875197323201151,2.44,1.635,0.557,2.3,0.353
Delta,Residential,Bungalow,Both,B and D,Yes,No,Generator,5,4,7,12,1.5,0.0,3.5,0,0,Low,10.3091,10.3091,6.4692503167957724,6.1433268964172285,1.23,0.937,0.614,0.136,4.096
Plateau,Industrial,Shop,NEPA/PHCN,B and C,No,Yes,Generator,5,5,8,5,10.5,2.3,3.5,2,2,High,8.8211,8.8211,8.231109840328154,5.21275947818639,1.04,0.679,0.517,0.808,0.496
Abuja,Commercial,Flat,NEPA/PHCN,B and C,No,Yes,Solar,10,4,11,0,4.0,2.3,2.7,1,0,Very high,8.1362,8.1362,10.164042488848484,5.301312875527835,0.53,0.542,0.445,0.267,1.325
Kano,Industrial,Office,NEPA/PHCN,B and D,Yes,No,Generator,11,3,8,22,12.2,0.0,5.0,1,0,Very high,9.2811,9.2811,9.197761589769323,6.013470627370596,0.55,0.844,0.502,1.109,0.493
Lagos,Industrial,Office,Both,B and D,Yes,No,Solar,1,6,11,20,5.8,0.0,6.1,1,2,Very high,10.0613,10.0613,7.1276936993473985,6.106577354208486,6.11,0.592,0.585,0.341,1.053
Anambra,Residential,Bungalow,NEPA/PHCN,B and C,Yes,Yes,UPS,1,5,6,7,18.6,0.7,3.8,3,0,Low,9.6143,9.6143,7.8804263442924,5.762680115903686,5.76,0.874,0.55,1.691,0.31
Niger,Government,Flat,Both,B and B,Yes,Yes,Generator,4,5,9,8,8.6,4.3,2.7,1,0,Moderate,10.3449,10.3449,6.652863029353347,5.704448919199361,1.43,0.739,0.609,0.614,0.663
Delta,Commercial,Mansion,NEPA/PHCN,B and D,Yes,No,Generator,5,3,9,4,0.0,0.0,8.9,2,3,Very high,10.2025,10.2025,5.545177444479562,6.310826956162734,1.26,0.85,0.648,0.0,inf
Lagos,Residential,Office,Generator,B and C,Yes,No,Generator,4,4,7,24,8.1,0.0,7.5,2,1,Low,9.7192,9.7192,7.51479976048867,5.144583266605995,1.29,0.884,0.564,0.736,0.635
Kano,Government,Bungalow,Both,B and C,Yes,No,Solar,5,3,6,15,5.5,0.0,5.6,1,2,Moderate,9.3545,9.3545,8.86953877719374,5.631928370888217,1.13,1.039,0.513,0.611,1.024
Rivers,Residential,Flat,Generator,B and D,Yes,Yes,Generator,3,2,3,1,14.7,0.5,5.8,0,1,Low,10.0141,10.0141,9.523105224795426,5.579729825986222,1.86,2.003,0.513,2.94,0.38
Rivers,Industrial,Duplex,Solar,B and D,Yes,No,Generator,6,9,7,22,7.5,0.0,4.8,0,2,Very high,10.3223,10.3223,6.9874902470009905,6.817721156278156,1.14,0.645,0.596,0.469,0.909
Oyo,Commercial,Office,Both,B and B,Yes,Yes,Solar,3,2,4,4,11.3,3.0,7.7,3,1,Moderate,9.1625,9.1625,9.267476563346992,5.023222409601727,1.67,1.527,0.497,1.883,0.445
Bauchi,Residential,Flat,Both,B and C,No,No,UPS,3,5,6,6,13.0,0.0,3.9,0,1,Low,9.5907,9.5907,8.832733591996416,5.340897814083155,1.78,0.872,0.521,1.182,0.411
Kano,Industrial,Duplex,Both,B and E,No,Yes,Generator,9,4,7,10,8.2,3.5,5.9,1,2,High,9.3501,9.3501,8.88599431515281,4.085976312551584,0.45,0.85,0.513,0.745,0.498
Kano,Commercial,Duplex,Both,B and A,Yes,No,Generator,2,9,9,0,9.0,0.0,4.3,1,3,Very high,8.7518,8.7518,8.98054977794018,6.459278280280682,3.23,0.486,0.494,0.5,0.718
Lagos,Residential,Flat,Generator,B and D,No,Yes,Generator,3,4,8,12,5.2,1.3,7.0,0,0,Low,9.873,9.873,9.954988325398531,5.4450117456988405,1.82,0.823,0.498,0.433,1.047
Delta,Residential,Duplex,Solar,B and C,Yes,Yes,Generator,3,2,6,9,9.8,2.0,6.4,0,3,Low,9.6821,9.6821,9.810220284565686,4.625952725170619,1.54,1.21,0.497,1.225,0.472
Plateau,Government,Flat,Generator,B and D,Yes,No,Generator,3,3,5,15,5.6,0.0,7.5,1,0,Low,9.0535,9.0535,9.394743094973961,3.044522437723423,1.01,1.132,0.491,0.7,0.544
Kwara,Residential,Duplex,Generator,B and C,Yes,No,UPS,5,4,13,9,3.1,0.0,6.3,0,2,High,10.7385,10.7385,10.152064905107148,5.391352232515226,1.08,0.632,0.514,0.182,1.739
Bauchi,Government,Bungalow,NEPA/PHCN,B and C,No,No,Generator,4,2,10,12,19.5,0.0,8.0,1,0,High,10.1685,10.1685,8.328692583545568,5.785669634128385,1.45,0.847,0.55,1.625,0.297
Lagos,Residential,Bungalow,Generator,B and D,No,No,Solar,7,4,4,12,3.0,0.0,7.3,0,1,Moderate,8.308,8.308,10.118518283739787,6.102558594613569,0.87,1.038,0.451,0.375,2.034
Abuja,Commercial,Flat,NEPA/PHCN,B and D,Yes,No,Solar,5,1,9,7,8.4,0.0,8.4,0,2,Moderate,10.3349,10.3349,8.57300625623545,4.030694535145645,0.81,1.033,0.547,0.84,0.48
Niger,Government,Duplex,Generator,B and D,Yes,No,Generator,2,1,11,0,7.9,0.0,7.0,0,2,Moderate,9.9998,9.9998,10.464616480811362,4.053522567701846,2.03,0.833,0.489,0.658,0.513
Rivers,Residential,Bungalow,Both,B and C,No,Yes,Solar,8,3,8,17,11.2,2.0,4.4,0,1,High,7.517,7.517,9.244867394670745,5.65669086712235,0.71,0.683,0.448,1.018,0.505
Niger,Commercial,Flat,Both,B and B,Yes,No,UPS,9,4,6,10,17.9,0.0,4.4,3,0,Very high,9.6568,9.6568,10.142425709748979,7.018849326487724,0.78,0.966,0.488,1.79,0.392
Rivers,Industrial,Factory,Generator,B and E,Yes,Yes,Generator,4,5,10,2,7.3,4.8,7.3,0,0,Moderate,9.1598,9.1598,9.465292619805044,5.381278887262384,1.35,0.611,0.492,0.487,0.737
Oyo,Industrial,Bungalow,Solar,B and C,No,Yes,Generator,3,3,9,7,5.2,5.9,7.1,0,0,High,10.142,10.142,9.235130540783402,6.087683404848525,2.03,0.845,0.523,0.433,1.171
Plateau,Commercial,Office,NEPA/PHCN,B and D,No,No,Solar,1,4,3,12,8.7,0.0,8.4,0,1,Low,9.4539,9.4539,8.492900498847193,4.877484781308751,4.88,1.351,0.527,1.243,0.561
Abuja,Commercial,Factory,Solar,B and E,Yes,No,Solar,4,3,7,7,9.8,0.0,7.6,2,0,Moderate,9.0164,9.0164,8.744488113852924,5.19794439240125,1.3,0.902,0.508,0.98,0.53
Rivers,Industrial,Flat,NEPA/PHCN,B and D,Yes,No,Generator,2,3,7,3,5.7,0.0,7.5,1,1,Moderate,9.1732,9.1732,10.442434052018774,4.553876891600541,2.28,0.917,0.468,0.57,0.799
Lagos,Industrial,Flat,Solar,B and B,Yes,Yes,Generator,3,4,3,2,4.4,2.6,6.6,1,1,Moderate,9.2268,9.2268,9.040263541598666,6.104793232414985,2.03,1.318,0.505,0.629,1.387
Abuja,Industrial,Factory,Generator,B and E,Yes,No,Generator,3,3,7,5,4.0,0.0,5.5,3,0,Very high,6.9088,6.9088,9.185842740375783,6.209997485864508,2.07,0.691,0.429,0.4,1.552
Lagos,Residential,Factory,Solar,B and B,Yes,No,UPS,3,1,5,9,6.0,0.0,5.2,4,3,Very high,9.9005,9.9005,7.173958319756794,6.410339342126064,2.14,1.65,0.58,1.0,1.068
Kwara,Agricultural,Flat,Solar,B and B,Yes,No,Generator,10,1,9,20,5.3,0.0,9.8,1,2,Moderate,7.6459,7.6459,8.573951525234847,4.241326752570746,0.42,0.765,0.471,0.53,0.8
Kwara,Residential,Flat,Solar,B and A,No,No,Generator,3,3,5,18,4.3,0.0,4.8,1,1,Low,10.1266,10.1266,8.904222737368716,5.240158452374504,1.75,1.266,0.532,0.538,1.219
Niger,Residential,Flat,NEPA/PHCN,B and A,Yes,No,Generator,7,1,6,15,5.3,0.0,5.1,1,2,Moderate,10.1652,10.1652,9.67721410821299,5.6507332535663855,0.81,1.452,0.512,0.757,1.066
Rivers,Residential,Office,Both,B and E,Yes,No,No Backup,1,2,10,10,8.6,0.0,7.1,1,1,Low,8.6417,8.6417,5.988961416889864,5.0530560099802075,5.05,0.72,0.591,0.717,0.588
Rivers,Residential,Office,NEPA/PHCN,B and B,No,No,Solar,6,5,8,4,6.6,0.0,7.3,1,1,Moderate,9.2151,9.2151,8.672828482947686,5.180096735160606,0.86,0.709,0.515,0.508,0.785
Delta,Residential,Shop,Both,B and A,No,Yes,Solar,2,4,5,11,13.9,0.5,5.8,0,0,Low,10.6883,10.6883,9.14855007101973,4.22683374526818,2.11,1.188,0.539,1.544,0.304
